area_id,area_name,latitude,longtitude,address,custno
0,공현진방파제,38.3521,128.5149,강원도 고성군 죽왕면 공현진해변길,
1,봉포방파제,38.2487,128.5702,강원도 고성군 토성면 봉포해변길,
2,장사방파제,38.2247,128.5919,강원도 속초시 장사항해안길 (장사동),
3,동명방파제,38.2036,128.6033,강원도 속초시 영금정로 (동명동),
4,수산방파제,38.079,128.6803,강원도 양양군 손양면 수산1길,
5,동산방파제,37.9804,128.7633,강원도 양양군 현남면 동산큰길,
6,남애방파제,37.9424,128.7901,강원도 양양군 현남면 매바위길,
7,주문진방파제,37.8862,128.834,강원도 강릉시 주문진읍 해안로,
8,사천진해변,37.843,128.8738,강원도 강릉시 사천면 진리해변길,
9,안목방파제,37.7714,128.9568,강원도 강릉시 창해로14번길 (견소동),
10,금진방파제,37.6479,129.0508,강원도 강릉시 옥계면 헌화로,
11,덕산방파제,37.3757,129.2547,강원도 삼척시 근덕면 덕산해안로,
12,장호방파제,37.2895,129.3147,강원도 삼척시 근덕면 장호항길,
13,임원항 대왕바위,37.2321,129.3513,강원도 삼척시 원덕읍 임원항구로,
14,진복2리 해안가,37.2321,129.3513,경상북도 울진군 근남면 망양정로,
15,구산해변,36.7537,129.4682,경상북도 울진군 기성면 구산봉산로,
16,고래불해변,36.5978,129.4106,경상북도 영덕군 병곡면 고래불로,
17,대진해변,36.5651,129.4266,경상북도 영덕군 영해면 영덕대게로,
18,영덕 해골바위,36.5285,129.4413,경상북도 영덕군 영해면 영덕대게로,
19,경정2리 해안가,36.4947,129.4451,경상북도 영덕군 축산면 차유길,
20,경정2리 차유돔바위,36.4875,129.4426,경상북도 영덕군 축산면 영덕대게로,
21,경정1리 담물,36.48,129.4335,경상북도 영덕군 축산면 영덕대게로,
22,영덕 동명축양장,36.4626,129.4372,경상북도 영덕군 영덕읍 석동길,
23,영덕 노물,36.4579,129.4356,경상북도 영덕군 영덕읍 영덕대게로,
24,창포리 보릿골,36.4138,129.4303,경상북도 영덕군 영덕읍 영덕대게로,
25,영덕 강구 하저,36.3702,129.3982,경상북도 영덕군 강구면 영덕대게로,
26,구룡포 만세여,36.0242,129.5788,경상북도 포항시 남구 구룡포읍 일출로322번길 인근 해상,
27,구룡포 장길리 보릿돌,35.9748,129.5542,경상북도 포항시 남구 구룡포읍 하정로138번길 인근 해상,
28,계원2리 등대,35.8534,129.5256,경상북도 포항시 남구 장기면 동해안로,
29,송대말등대,35.8064,129.512,경상북도 경주시 감포읍 감포로 226-19,
30,감포항 석벽,35.8046,129.5051,경상북도 경주시 감포읍 감포로2길,
31,감포방파제,35.8037,129.5083,경상북도 경주시 감포읍 감포로6길,
32,정자 판지,35.6137,129.458,울산광역시 북구 판지1길 (구유동),
33,울산 우가포,35.612,129.4584,울산광역시 북구 판지1길 (구유동),
34,당사방파제,35.5832,129.4583,울산광역시 북구 용바위1길 (당사동),
35,주전방파제,35.5615,129.4583,울산광역시 동구 주전해안길 (주전동),
36,울산 방어진 쌍둥이여,35.4869,129.4398,울산광역시 동구 등대로 (일산동) 인근 해상,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
45,,,,,
46,,,,,
47,,,,,
