area_id,area_name,latitude,longtitude,address,custno
0,공현진방파제,38.3521,128.5149,강원도 고성군 죽왕면 공현진리 431-22,
1,봉포방파제,38.2487,128.5702,강원도 고성군 토성면 봉포리 1-6,
2,장사방파제,38.2247,128.5919,강원도 속초시 장사동 548-4,
3,동명방파제,38.2036,128.6033,강원도 속초시 동명동 1-257,
4,수산방파제,38.079,128.6803,강원도 양양군 손양면 수산리 89-6,
5,동산방파제,37.9804,128.7633,강원도 양양군 현남면 동산리 137-4,
6,남애방파제,37.9424,128.7901,강원도 양양군 현남면 남애리 2-82,
7,주문진방파제,37.8862,128.834,강원도 강릉시 주문진읍 주문리 265-18,
8,사천진해변,37.843,128.8738,강원도 강릉시 사천면 사천진리 266-2,
9,안목방파제,37.7714,128.9568,강원도 강릉시 견소동 286,
10,금진방파제,37.6479,129.0508,강원도 강릉시 옥계면 금진리 124-3,
11,정성바다낚시터,37.4698197,126.6203212,인천광역시 중구 백운로 186번길 140-1,
12,넛출선착장,37.466071,126.629655,인천광역시 영흥면 선재리,
13,뱃말선착장,37.466071,126.629655,인천광역시 영흥면 선재리,
14,덕산방파제,37.3757,129.2547,강원도 삼척시 근덕면 덕산리 4-7,
15,시화방조제,37.335669,126.784205,경기도 안산시 단원구 대부동동,
16,풍도방파제,37.317614,126.786072,경기도 안산시 대부동,
17,장호방파제,37.2895,129.3147,강원도 삼척시 근덕면 장호리 3-1,
18,진두방파제,37.233227,126.408742,인천광역시 옹진군 영흥면 내리,
19,임원항 대왕바위,37.2321,129.3513,강원도 삼척시 원덕읍 임원리 산327,
20,진복2리 해안가,37.2321,129.3513,경상북도 울진군 근남면 진복리 205-5,
21,소이작도선착장,37.222757,126.360421,인천광역시 옹진군 자월면 이작리,
22,궁평리선착장,37.207773,126.735551,경기도 화성시 서산면 궁평리,
23,매향리선착장,37.101329,126.774964,경기도 화성시 우정면 매향리,
24,석문방조제 선착장,36.985043,126.60458,충청남도 당진군 송산면,
25,도비도방파제,36.963301,126.701989,충청남도 당진군 석문면,
26,한진선착장,36.8667,126.6722,충청남도 당진군 송악면 한진리,
27,학암포선착장,36.810367,126.224219,충청남도 태안군 원북면 방갈리,
